thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
16,0,16,[0.2789351851851852],[0.46412037037037035],[1],[0],[0],[2.3403188004158437],['Target'],16,0,16,0,39.220595499966294,,10,39.19898999994621,39.220595499966294,39.220595499966294,0.024210500065237284,40.221852799877524,41.539800399914384,[0.2789351851851852],[0.46412037037037035],[1],[0],[0],[2.3403188004158437],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
17,0,17,[-0.2569444444444444],[0.13541666666666666],[1],[0],[0],[1.670210300013423],['Target'],17,0,17,0,41.57057600002736,,5,41.552603600081056,41.57057600002736,41.57057600002736,0.012651700060814619,42.571517100092024,43.22328929975629,[-0.2569444444444444],[0.13541666666666666],[1],[0],[0],[1.670210300013423],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
18,0,18,[0.16087962962962962],[0.35532407407407407],[1],[0],[0],[1.9065172001719475],['Target'],18,0,18,0,43.27102129999548,,10,43.24879080010578,43.27102129999548,43.27102129999548,0.025377999991178513,44.2715869997628,45.155786799732596,[0.16087962962962962],[0.35532407407407407],[1],[0],[0],[1.9065172001719475],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
19,0,19,[-0.1550925925925926],[0.39699074074074076],[1],[0],[0],[1.6054965001530945],['Target'],19,0,19,0,45.186564499977976,,5,45.16774099972099,45.186564499977976,45.186564499977976,0.011880199890583754,46.187799599952996,46.77391410013661,[-0.1550925925925926],[0.39699074074074076],[1],[0],[0],[1.6054965001530945],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
20,0,20,[0.1076388888888889],[0.13541666666666666],[1],[0],[0],[1.4847472002729774],['Target'],20,0,20,0,46.80307189980522,,5,46.78723770007491,46.80307189980522,46.80307189980522,0.013190300203859806,47.80431619985029,48.27248580008745,[0.1076388888888889],[0.13541666666666666],[1],[0],[0],[1.4847472002729774],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
21,0,21,[-0.4305555555555556],[-0.03356481481481482],[1],[0],[0],[2.3741387999616563],['Target'],21,0,21,0,48.319840299896896,,10,48.2968327999115,48.319840299896896,48.319840299896896,0.024216100107878447,49.32069509988651,50.67152399988845,[-0.4305555555555556],[-0.03356481481481482],[1],[0],[0],[2.3741387999616563],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
22,0,22,[-0.4305555555555556],[0.12731481481481483],[1],[0],[0],[1.50555370002985],['Target'],22,0,22,0,50.70273789996281,,5,50.68312350008637,50.70273789996281,50.70273789996281,0.011463900096714497,51.70404399977997,52.189132399857044,[-0.4305555555555556],[0.12731481481481483],[1],[0],[0],[1.50555370002985],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
23,0,23,[-0.4861111111111111],[-0.21296296296296297],[1],[0],[0],[2.057528799865395],['Target'],23,0,23,0,52.23565729986876,,10,52.213423599954695,52.23565729986876,52.23565729986876,0.024151300080120564,53.23742639971897,54.271451599895954,[-0.4861111111111111],[-0.21296296296296297],[1],[0],[0],[2.057528799865395],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
24,0,24,[-0.26967592592592593],[0.22916666666666666],[1],[0],[0],[2.170487599913031],['Target'],24,0,24,0,54.302074200008065,,5,54.28321010014042,54.302074200008065,54.302074200008065,0.011728200130164623,55.303683400154114,56.45457240007818,[-0.26967592592592593],[0.22916666666666666],[1],[0],[0],[2.170487599913031],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
25,0,25,[0.2523148148148148],[0.27662037037037035],[1],[0],[0],[1.8586281002499163],['Target'],25,0,25,0,56.501782699953765,,10,56.479358199983835,56.501782699953765,56.501782699953765,0.02465900033712387,57.50322309974581,58.338459599763155,[0.2523148148148148],[0.27662037037037035],[1],[0],[0],[1.8586281002499163],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
