0.0596 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=289, pos=array([ 0.13811328, -0.33167183]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	distr: autoDraw = True
0.0816 	EXP 	Fixation: autoDraw = True
0.0816 	EXP 	Target: autoDraw = True
1.0821 	EXP 	Fixation: autoDraw = False
2.3339 	DATA 	Mouse: Left button down, pos=(655,384)
2.3361 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
2.3368 	EXP 	window1: mouseVisible = True
2.3419 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=238, pos=array([-0.17251264, -0.19175152]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3421 	EXP 	window1: mouseVisible = True
2.3490 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=265, pos=array([-0.04727162,  0.32840585]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3493 	EXP 	window1: mouseVisible = True
2.3547 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=134, pos=array([-0.23039436, -0.15874824]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3550 	EXP 	window1: mouseVisible = True
2.3599 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=53, pos=array([-0.30139002,  0.48456355]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3601 	EXP 	window1: mouseVisible = True
2.3643 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=109, pos=array([-0.31636364,  0.44588958]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3646 	EXP 	window1: mouseVisible = True
2.3678 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=37, pos=array([-0.34159419,  0.33972721]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3680 	EXP 	window1: mouseVisible = True
2.3709 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=209, pos=array([-0.49189909, -0.22615579]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3711 	EXP 	window1: mouseVisible = True
2.3739 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=58, pos=array([-0.04831689, -0.07244442]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3740 	EXP 	window1: mouseVisible = True
2.3766 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=64, pos=array([0.32646191, 0.07253376]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3767 	EXP 	window1: mouseVisible = True
2.3794 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=33, pos=array([ 0.11627452, -0.13834485]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
2.3973 	EXP 	Fixation: autoDraw = False
2.3973 	EXP 	Target: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = False
2.3973 	EXP 	distr: autoDraw = True
2.3973 	EXP 	distr: autoDraw = True
2.3973 	EXP 	distr: autoDraw = True
2.3973 	EXP 	distr: autoDraw = True
2.3973 	EXP 	distr: autoDraw = True
