thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,[0.36342592592592593],[-0.23958333333333334],[1],[0],[0],[1.8647213000804186],['Target'],13,0,13,0,23.547639899887145,,10,23.519207099918276,23.547639899887145,23.547639899887145,0.03457609983161092,24.549474900122732,25.38479010015726,[0.36342592592592593],[-0.23958333333333334],[1],[0],[0],[1.8647213000804186],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
14,0,14,[-0.33796296296296297],[-0.019675925925925927],[1],[0],[0],[1.6530951000750065],['Target'],14,0,14,0,25.430957300122827,,5,25.413567999843508,25.430957300122827,25.430957300122827,0.02834989968687296,26.432231199927628,27.067380600143224,[-0.33796296296296297],[-0.019675925925925927],[1],[0],[0],[1.6530951000750065],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
15,0,15,[0.4074074074074074],[0.4826388888888889],[1],[0],[0],[2.9671958000399172],['Target'],15,0,15,0,27.147407500073314,,10,27.116639399901032,27.147407500073314,27.147407500073314,0.048994299955666065,28.14861680008471,30.08465649979189,[0.4074074074074074],[0.4826388888888889],[1],[0],[0],[2.9671958000399172],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
16,0,16,[-0.1550925925925926],[0.16898148148148148],[1],[0],[0],[1.2381802997551858],['Target'],16,0,16,0,30.130062100011855,,5,30.112025199923664,30.130062100011855,30.130062100011855,0.026940899901092052,31.13170549971983,31.351028100121766,[-0.1550925925925926],[0.16898148148148148],[1],[0],[0],[1.2381802997551858],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
17,0,17,[-0.37037037037037035],[0.27199074074074076],[1],[0],[0],[1.2574020000174642],['Target'],17,0,17,0,31.413636500015855,,10,31.392397299874574,31.413636500015855,31.413636500015855,0.04109739977866411,32.41482689976692,32.65051440009847,[-0.37037037037037035],[0.27199074074074076],[1],[0],[0],[1.2574020000174642],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
18,0,18,[-0.046296296296296294],[-0.16550925925925927],[1],[0],[0],[1.376903099939227],['Target'],18,0,18,0,32.71358670014888,,10,32.68962989980355,32.71358670014888,32.71358670014888,0.03878880012780428,33.714842999819666,34.06727309990674,[-0.046296296296296294],[-0.16550925925925927],[1],[0],[0],[1.376903099939227],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
19,0,19,[-0.25578703703703703],[0.018518518518518517],[1],[0],[0],[2.2103229998610914],['Target'],19,0,19,0,34.129820299800485,,10,34.10562560008839,34.129820299800485,34.129820299800485,0.03805229999125004,35.131287899799645,36.316948799882084,[-0.25578703703703703],[0.018518518518518517],[1],[0],[0],[2.2103229998610914],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
20,0,20,[-0.11574074074074074],[0.07523148148148148],[1],[0],[0],[1.2232154998928308],['Target'],20,0,20,0,36.36273519974202,,5,36.34356290008873,36.36273519974202,36.36273519974202,0.026290600188076496,37.36434260010719,37.56758589996025,[-0.11574074074074074],[0.07523148148148148],[1],[0],[0],[1.2232154998928308],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
21,0,21,[0.24537037037037038],[-0.4375],[0],[0],[1],[2.007358900271356],['Target'],21,0,21,0,37.612658199854195,,5,37.59304019995034,37.612658199854195,37.612658199854195,0.025204400066286325,38.61408179998398,39.60128910001367,[0.24537037037037038],[-0.4375],[0],[0],[1],[2.007358900271356],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
22,0,22,[0.34953703703703703],[-0.004629629629629629],[1],[0],[0],[1.9716644999571145],['Target'],22,0,22,0,39.66233049985021,,10,39.64337670011446,39.66233049985021,39.66233049985021,0.04182090004906058,40.66388919996098,41.615805299952626,[0.34953703703703703],[-0.004629629629629629],[1],[0],[0],[1.9716644999571145],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
23,0,23,[0.24189814814814814],[-0.39699074074074076],[1],[0],[0],[1.6617923001758754],['Target'],23,0,23,0,41.678986500017345,,10,41.65277909999713,41.678986500017345,41.678986500017345,0.0365794999524951,42.68034579977393,43.315355400089175,[0.24189814814814814],[-0.39699074074074076],[1],[0],[0],[1.6617923001758754],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
24,0,24,[-0.4027777777777778],[0.39814814814814814],[1],[0],[0],[2.1050717998296022],['Target'],24,0,24,0,43.37850569980219,,10,43.359477899968624,43.37850569980219,43.37850569980219,0.04378239996731281,44.38006559992209,45.46524540008977,[-0.4027777777777778],[0.39814814814814814],[1],[0],[0],[2.1050717998296022],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
25,0,25,[-0.16898148148148148],[0.33912037037037035],[1],[0],[0],[0.9366187998093665],['Target'],25,0,25,0,45.51123029971495,,10,45.49421009980142,45.51123029971495,45.51123029971495,0.028701600152999163,,46.43141279974952,[-0.16898148148148148],[0.33912037037037035],[1],[0],[0],[0.9366187998093665],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
