Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,10,10,0,,,_oo_,Book,old,book,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[2.3783833330016932],['submit_text'],,,,,0,10,10,13,37.50315279200004,,,,,,,,37.49111379200622,37.50315279200004,37.50315279200004,37.50315279200004,0.0019516250031301752,39.86996012500458,book,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[2.3783833330016932],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,11,11,0,,,l_pt_p,Laptop,old,laptop,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[3.3797245409950847],['submit_text'],,,,,0,11,11,0,39.88532425000449,,,,,,,,39.872617458000605,39.88532425000449,39.88532425000449,39.88532425000449,0.0025055829974007793,43.252761208001175,laptop,[0.0008992805755395684],[-0.3192446043165468],[1],[0],[0],[3.3797245409950847],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,12,12,0,,,c_s_e,Case,old,case,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.3476465420026216],['submit_text'],,,,,0,12,12,5,43.26740704200347,,,,,,,,43.2549293330012,43.26740704200347,43.26740704200347,43.26740704200347,0.0020441250017029233,45.60301025000081,case,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.3476465420026216],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,13,13,0,,,ta_l_,Table ,new,table,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.8205580840003677],['submit_text'],,,,,0,13,13,15,45.61737720800011,,,,,,,,45.60533333300555,45.61737720800011,45.61737720800011,45.61737720800011,0.0021988330045132898,48.42625087500346,table,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.8205580840003677],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,14,14,0,,,K_y_,Keys,old,keys,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[1.7507056670001475],['submit_text'],,,,,0,14,14,8,48.438520708004944,,,,,,,,48.428064875006385,48.438520708004944,48.438520708004944,48.438520708004944,0.0017197919951286167,50.17912554200302,keys,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[1.7507056670001475],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,15,15,0,,,P_li_e,Police,old,police,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[1.98117679200368],['submit_text'],,,,,0,15,15,7,50.19208170800266,,,,,,,,50.18121333300223,50.19208170800266,50.19208170800266,50.19208170800266,0.0019901250052498654,52.16274700000213,police,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[1.98117679200368],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,16,16,0,,,P_as_tr_,Pastry,old,pastre,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[4.596615208000003],['submit_text'],,,,,0,16,16,4,52.17640545800532,,,,,,,,52.16530162500567,52.17640545800532,52.17640545800532,52.17640545800532,0.0024393749990849756,56.76226179200603,pastre,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[4.596615208000003],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,17,17,0,,,c_s_io_,Cushion,old,cushion,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.7979708339989884],['submit_text'],,,,,0,17,17,14,56.77504020800552,,,,,,,,56.76434025000344,56.77504020800552,56.77504020800552,56.77504020800552,0.001967834003153257,59.56275291700149,cushion,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.7979708339989884],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,18,18,0,,,c_m_ra,Camera,new,camera,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.880066083998827],['submit_text'],,,,,0,18,18,19,59.57622508300119,,,,,,,,59.56513837500097,59.57622508300119,59.57622508300119,59.57622508300119,0.0022674160063616,62.44559758300602,camera,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.880066083998827],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
,19,19,0,,,P_st_r,Poster,old,poster,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.4812991250000778],['submit_text'],,,,,0,19,19,9,62.45785095800238,,,,,,,,62.4475470000034,62.45785095800238,62.45785095800238,62.45785095800238,0.0018582080010673963,64.9292430830028,poster,[0.006294964028776978],[-0.29856115107913667],[1],[0],[0],[2.4812991250000778],['submit_text'],2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
